,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
5630,9.2876,-17.8052,-18.8199,-19.2064,-19.3012,-19.3298,0.3926,7.6906,-0.3899,12.1428,0.2278,2.362,0.717,2.457,-9.6775
5631,8.9509,-16.4447,-17.5349,-17.976,-17.9048,-17.6253,0.4395,6.9635,-1.002,11.4715,-0.2281,3.918,0.043,2.375,-9.9529
5632,9.1426,-17.4379,-18.2597,-18.6707,-18.8666,-18.8822,0.4281,7.0511,-0.6911,11.4985,0.2769,4.554,0.184,2.942,-9.8337
5633,10.1452,-19.4816,-20.528,-20.9743,-21.0882,-21.2863,0.4214,7.6552,0.373,12.1712,-1.0392,7.193,0.197,4.735,-9.7722
5634,10.2442,-16.0617,-20.428,-20.8914,-21.0459,-21.2724,0.4068,7.633,-0.2832,12.1468,0.058,8.177,0.106,4.997,-10.5274
5635,9.1702,-17.765,-18.879,-19.2357,-19.2551,-19.1025,0.3594,7.026,-0.3789,11.6077,-0.8237,4.753,0.02,2.856,-9.5491
5636,8.9663,-17.0074,-18.3163,-18.6523,-18.7213,-18.2201,0.3378,6.5409,-0.6605,14.3729,1.4268,6.594,0.069,4.139,-9.6268
5637,10.183,-18.0237,-19.319,-19.9447,-20.2018,-20.322,0.5823,8.0586,-0.7844,11.9321,-0.1623,4.694,0.0,2.796,-10.9674
5638,10.2738,-19.5143,-20.6278,-21.1565,-21.4025,-21.6212,0.4943,8.4599,0.8442,12.2523,-0.4286,3.301,0.01,1.976,-9.4296
5639,8.7791,-16.662,-17.5958,-17.9387,-18.0714,-18.1148,0.3552,6.9246,-0.8717,11.4221,0.0465,3.439,0.061,2.113,-9.6508
5640,9.912,-19.0462,-20.0126,-20.387,-20.5209,-20.6412,0.3412,7.8516,0.0695,11.8503,-0.2095,4.287,0.236,2.711,-9.8425
5641,9.4694,-16.9326,-18.0402,-18.5887,-18.8476,-19.1214,0.5165,7.5637,-0.6667,11.6454,-1.8094,3.638,0.238,2.368,-10.1361
5642,8.9488,-17.0768,-18.0395,-18.3088,-18.4167,-18.2502,0.2995,7.2693,-0.7851,11.4494,-0.0249,2.752,0.082,1.666,-9.7339
5643,9.6953,-17.8408,-18.9139,-19.334,-19.5102,-19.6085,0.4336,8.0529,-0.4856,11.69,-0.0736,2.671,0.055,1.619,-10.1809
5644,9.2843,-17.2339,-17.9812,-18.3891,-18.5144,-18.2575,0.4212,6.6123,-0.5419,11.5145,-0.4563,9.107,0.237,6.66,-9.8262
5645,9.2169,-17.2385,-18.2808,-18.7279,-18.9112,-19.0675,0.4472,7.0913,-0.6005,11.7722,0.3168,4.644,0.115,2.874,-9.8174
5646,9.3873,-17.0808,-18.473,-18.9016,-18.9917,-18.6863,0.4539,7.07,-0.6785,11.6373,-0.6738,5.8,0.056,3.565,-10.0658
5647,9.3247,-17.5524,-18.5361,-18.9289,-19.0708,-19.18,0.3757,8.0901,-0.6152,11.6121,-0.7641,1.626,0.041,0.959,-9.9398
5648,8.7242,-16.6571,-17.395,-17.7334,-17.7734,-17.372,0.3467,6.3813,-1.3081,11.3838,-1.2714,5.968,0.083,3.785,-10.0323
5649,8.8827,-17.2136,-18.1636,-18.41,-18.5166,-18.5839,0.2966,7.4685,-0.5976,11.4517,-1.0545,2.036,0.025,1.221,-9.4803
5650,10.6451,-17.0957,-20.8662,-21.4157,-21.5575,-21.7656,0.5002,7.7378,-0.2073,12.36,0.0407,11.49,0.129,7.551,-10.8524
5651,8.6938,-17.0192,-17.8392,-18.0222,-18.1909,-18.3655,0.2176,6.881,-0.6268,11.3691,0.3864,3.231,0.104,1.891,-9.3206
5652,10.3682,-19.001,-20.1299,-20.6265,-20.8573,-20.9715,0.4807,8.4294,0.0298,12.0363,-0.3379,3.792,0.23,2.467,-10.3384
5653,9.405,-17.9745,-18.9127,-19.2524,-19.437,-19.2399,0.3664,7.6882,-0.4799,11.6299,0.0446,2.907,0.059,1.798,-9.8849
5654,10.0675,-18.2443,-19.3885,-19.7314,-19.8834,-19.7854,0.3523,7.7466,-0.3607,11.726,0.0791,5.998,0.206,3.89,-10.4282
5655,8.6635,-15.9154,-16.9366,-17.2906,-17.307,-17.5528,0.3493,7.1807,-1.1683,12.0036,0.2375,2.2,0.0,1.31,-9.8318
5656,10.6842,-18.5729,-20.0867,-20.8617,-21.2483,-21.4943,0.6727,8.6705,0.4409,12.5427,-0.1581,4.141,0.311,2.917,-10.2433
