,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
0,8.6744,-16.9118,-18.0226,-18.2436,-18.22,-18.1338,0.2676,7.2104,-1.1417,12.5286,0.2638,2.153,0.0,1.282,-9.8161
1,9.6099,-17.8492,-18.3277,-18.7489,-18.9166,-19.03,0.3535,7.4104,-0.6952,11.5755,0.1502,5.122,0.194,3.469,-10.3051
2,8.0287,-15.8953,-16.7127,-16.8721,-16.9318,-17.0034,0.1882,7.2919,-0.911,12.208,-0.4624,0.932,0.0,0.555,-8.9397
3,10.5858,-20.1907,-21.2287,-21.6918,-21.8895,-22.0871,0.4555,8.0772,0.6128,12.4644,-0.0082,7.28,0.139,4.536,-9.973
4,10.3741,-19.8648,-20.9188,-21.359,-21.546,-21.7257,0.4138,7.9308,0.6192,14.1666,0.7387,6.72,0.278,4.332,-9.7549
5,9.7217,-19.3357,-20.4522,-21.0169,-21.2874,-21.4831,0.4964,6.9232,0.3831,12.5097,0.267,10.007,0.0,5.962,-9.3386
6,9.4015,-18.2753,-19.1884,-19.5748,-19.7149,-19.8151,0.4071,8.0739,-0.1614,11.727,-0.5302,1.847,0.037,1.128,-9.5629
7,10.498,-19.1281,-20.3912,-20.864,-20.9836,-20.8542,0.4085,7.9591,0.32,12.1807,-0.5784,7.356,0.203,5.655,-10.178
9,9.9785,-19.2073,-19.9455,-20.3886,-20.5889,-20.6923,0.396,7.9756,0.1137,12.6953,-0.3022,3.945,0.432,2.091,-9.8648
10,9.6427,-17.9336,-19.0967,-19.4622,-19.6448,-19.6077,0.3685,7.781,-0.4679,11.721,-0.6115,3.409,0.069,2.083,-10.1106
11,8.996,-16.9106,-17.9791,-18.2163,-18.3449,-17.8763,0.2823,7.1484,-0.6838,11.4946,-0.1827,3.338,0.075,2.02,-9.6798
12,9.9814,-17.484,-19.0939,-19.6135,-19.8528,-19.9903,0.5069,7.5773,-0.4712,11.8267,0.1113,6.484,0.058,4.037,-10.4526
13,9.9226,-18.6529,-20.0804,-20.486,-20.6885,-20.7693,0.442,7.5154,0.1974,11.9284,-0.9412,6.373,0.026,3.892,-9.7252
15,8.3622,-16.2521,-17.2666,-17.5191,-17.6538,-17.7541,0.2731,7.7313,-0.7427,11.3373,-0.983,0.81,0.456,0.51,-9.1049
16,9.246,-15.8553,-17.0969,-17.7337,-17.9826,-18.1729,0.5878,8.3543,-1.3239,11.5029,-0.2341,1.136,0.712,1.067,-10.5699
17,9.613,-19.2154,-20.0081,-20.3454,-20.446,-20.4643,0.3326,7.7415,0.0988,12.2256,0.0069,3.446,0.244,2.16,-9.5143
18,9.0692,-17.9425,-18.7189,-18.9376,-19.0422,-19.0104,0.2345,7.3806,-0.2808,12.7538,0.2823,2.78,0.155,1.832,-9.35
19,9.4501,-18.7297,-19.5989,-20.0471,-20.2069,-20.4001,0.4309,8.4156,0.0548,11.8565,-0.1628,1.313,0.0,0.782,-9.3953
20,9.1243,-16.8902,-17.978,-18.304,-18.4155,-18.0868,0.3732,7.0714,-0.8169,11.4567,-0.3376,4.251,0.252,2.87,-9.9412
21,9.7854,-18.9699,-19.9639,-20.3442,-20.4502,-20.5602,0.3526,7.1377,0.1263,11.9069,0.2016,8.687,0.244,5.845,-9.6591
22,9.4915,-18.7524,-19.5837,-19.9048,-19.971,-20.0009,0.3127,7.5647,-0.0903,11.749,-0.3186,3.672,0.295,2.204,-9.5818
23,10.1135,-18.9781,-20.0568,-20.5206,-20.6913,-20.913,0.4386,8.0942,0.028,11.993,-0.6409,4.114,0.264,2.551,-10.0855
24,8.7199,-15.9349,-16.7724,-17.2088,-17.4111,-17.2458,0.416,6.7129,-1.1769,11.349,-0.0511,4.044,0.069,2.46,-9.8968
25,9.6961,-18.4023,-19.393,-19.8659,-20.0613,-20.2427,0.4464,7.5952,-0.1126,11.8057,0.6239,4.488,0.0,2.675,-9.8087
27,11.0434,-19.7097,-21.778,-22.3342,-22.5096,-22.4959,0.4987,8.1001,-0.5675,12.8918,0.5395,11.953,0.169,7.492,-11.6109
28,10.0313,-17.5869,-19.0055,-19.5937,-19.8983,-20.0676,0.4932,7.2795,-0.3956,13.2216,0.5856,9.623,0.012,5.784,-10.4269
29,9.6428,-16.9049,-18.008,-18.6842,-18.9163,-19.2636,0.5915,7.8854,-0.8268,11.6922,0.4427,3.057,0.205,1.906,-10.4696
31,9.2612,-17.237,-18.3765,-18.7633,-18.858,-19.0154,0.3633,7.2428,-0.5949,11.5787,-1.7111,4.203,0.255,2.947,-9.8561
32,9.8513,-18.1034,-19.4243,-19.8564,-19.9707,-20.0264,0.4394,7.5831,-0.5857,11.8319,-0.7575,5.416,0.022,3.269,-10.437
33,9.9205,-18.9497,-20.0505,-20.4626,-20.5524,-20.8146,0.3749,7.3839,0.125,11.923,-0.9052,7.511,0.125,4.68,-9.7955
34,8.8506,-16.788,-17.6507,-17.9284,-17.8009,-17.9013,0.3023,7.0294,-0.9299,11.3902,-0.4134,3.299,0.112,2.074,-9.7805
35,9.164,-18.2803,-19.1654,-19.4667,-19.5443,-19.66,0.2816,7.2308,-0.0948,11.8522,0.6847,3.694,0.0,2.201,-9.2588
36,10.0046,-18.4128,-19.6049,-20.2058,-20.4724,-20.7052,0.5627,7.6082,-0.001,11.988,-0.1449,6.351,0.0,3.784,-10.0056
38,8.6473,-17.3105,-18.0426,-18.2532,-18.2875,-18.0916,0.2152,6.951,-0.6237,11.4076,-0.5874,2.786,0.277,1.919,-9.271
39,9.6028,-17.9112,-19.1104,-19.5629,-19.4351,-18.7132,0.4463,7.4547,-0.8849,11.776,-1.112,4.759,0.068,2.94,-10.4877
40,10.1975,-19.1324,-20.4087,-20.9296,-21.1636,-21.3228,0.4675,7.3048,0.3373,12.1909,0.9255,11.387,0.0,6.785,-9.8602
41,10.4998,-19.0237,-20.2016,-20.7581,-21.0346,-21.1778,0.508,8.0578,0.2265,12.1714,0.0458,6.685,0.116,4.053,-10.2733
42,9.5112,-18.0377,-19.0126,-19.4316,-19.5997,-19.8016,0.3779,8.2056,-0.2013,11.8577,-0.0241,1.96,0.48,0.847,-9.7125
43,10.574,-18.4683,-20.1899,-20.9256,-21.3023,-21.5732,0.7005,8.8645,-1.3334,12.425,-0.8413,2.875,0.669,3.379,-11.9074
44,9.181,-17.5016,-18.4942,-18.877,-19.1023,-19.2041,0.4131,7.0474,-0.5428,11.5971,0.6672,3.944,0.528,1.395,-9.7238
45,9.4082,-17.7585,-18.7447,-19.0962,-19.1519,-19.0859,0.3732,7.1341,-0.4098,11.6117,0.0441,5.481,0.216,3.487,-9.818
46,9.9548,-19.2761,-20.2996,-20.6986,-20.8456,-20.929,0.3909,7.9093,0.218,12.0099,-0.7693,4.22,0.131,2.578,-9.7368
47,8.9916,-17.2146,-18.2505,-18.627,-18.7602,-18.793,0.3919,7.7586,-0.6326,13.4638,1.2681,1.65,0.005,0.983,-9.6242
48,10.7272,-19.6794,-21.0377,-21.6235,-21.8235,-22.0341,0.5691,7.8774,0.1259,12.553,1.1253,10.675,0.039,6.395,-10.6013
49,8.9192,-17.6464,-18.5428,-18.8451,-18.6767,-18.6074,0.2663,6.8944,-0.3681,11.543,-0.6651,4.137,0.0,2.465,-9.2873
50,8.4757,-15.7348,-16.6962,-17.0458,-17.2082,-17.3201,0.3629,6.9509,-1.2578,11.308,-0.8306,2.349,0.136,1.473,-9.7335
51,9.734,-19.6758,-20.4815,-20.7365,-20.739,-20.919,0.1955,7.5201,0.542,11.8906,-0.666,5.126,0.26,3.561,-9.192
53,8.8896,-17.4816,-18.3458,-18.5765,-18.6438,-18.6204,0.2453,7.5314,-0.5509,11.4661,-0.4808,1.913,0.409,1.092,-9.4405
54,9.3243,-17.8291,-18.8986,-19.2204,-19.353,-18.9352,0.3858,7.2838,-0.4835,11.6207,0.1989,4.201,0.028,2.537,-9.8078
55,10.2096,-18.2886,-19.593,-20.2593,-20.581,-20.8791,0.5903,7.6063,-0.1557,12.0477,-0.1492,8.135,0.113,5.076,-10.3653
56,9.4685,-17.7198,-18.6889,-19.1479,-19.2242,-19.2556,0.4599,7.0014,-0.4925,11.6698,0.0633,6.895,0.104,4.331,-9.961
57,9.1759,-17.2636,-18.0314,-18.4621,-18.6378,-18.8057,0.4025,7.1286,-0.765,11.5548,-0.1882,4.199,0.054,2.543,-9.9409
59,9.5322,-17.5531,-18.9783,-19.4011,-19.4694,-19.4599,0.4156,7.3487,-0.5467,12.4657,0.0451,4.971,0.268,3.276,-10.0789
60,9.7902,-18.0979,-19.1137,-19.6538,-19.9395,-20.1863,0.4518,8.0028,-0.2235,11.8243,-0.5994,3.161,0.166,1.995,-10.0137
62,9.823,-19.3067,-20.165,-20.4952,-20.5854,-20.6466,0.2928,7.5162,0.1784,11.8865,-0.0839,5.742,0.053,3.513,-9.6446
63,9.812,-18.0261,-19.1806,-19.5446,-19.6836,-19.5462,0.3564,7.5941,-0.589,11.7016,-0.0842,5.161,0.121,3.266,-10.401
64,10.3974,-18.6927,-19.9391,-20.476,-20.7814,-20.9083,0.4859,8.3888,0.4487,12.0525,-0.3954,4.232,0.22,2.801,-9.9487
65,9.5887,-17.9349,-19.0821,-19.4026,-19.4992,-19.4709,0.3144,7.4351,-0.5077,11.6512,-0.3665,4.727,0.24,2.596,-10.0964
66,9.3382,-17.4526,-18.6943,-19.0511,-19.2607,-19.3685,0.3243,6.7768,-0.5007,11.6027,-1.1421,7.655,0.111,4.868,-9.8389
67,8.6491,-16.8295,-17.6718,-17.8607,-17.8581,-18.0762,0.2042,7.1205,-0.7281,11.341,-0.0043,2.338,0.149,1.445,-9.3772
68,9.0128,-16.4517,-17.3807,-17.7547,-17.5335,-17.4541,0.439,6.7389,-1.1256,11.4065,-0.7117,5.497,0.274,3.548,-10.1384
69,9.5955,-18.2923,-19.3352,-19.6973,-19.7995,-19.9458,0.3678,7.4026,-1.5341,11.7116,0.304,5.039,0.232,3.338,-11.1296
70,9.9449,-18.9417,-19.8985,-20.3067,-20.4361,-20.6064,0.3863,8.1544,0.0187,11.8884,0.3995,3.176,0.091,1.979,-9.9262
71,9.7956,-18.9222,-19.8671,-20.2597,-20.3752,-20.4062,0.3797,7.9993,0.0316,11.8933,0.2944,3.155,0.386,2.089,-9.764
72,9.2112,-16.8223,-17.8998,-18.1473,-18.2629,-18.1551,0.2917,7.1439,-0.8502,11.4061,-0.8233,4.33,0.147,2.649,-10.0615
73,9.9042,-18.4565,-19.4678,-19.882,-20.0089,-20.1432,0.3898,8.2667,-0.2002,11.7955,-0.5195,2.65,0.334,1.632,-10.1044
74,8.4205,-16.5701,-16.8463,-17.1139,-17.2447,-17.1369,0.2445,6.6608,-1.0639,14.0194,1.6162,3.071,0.107,1.941,-9.4844
75,9.2683,-17.9132,-18.9621,-19.1823,-19.1906,-19.2953,0.2612,6.9624,-0.0998,11.5575,-0.0875,5.618,0.163,3.684,-9.3681
76,9.7412,-17.1887,-18.5421,-19.0515,-19.2551,-19.3179,0.4938,7.6087,-0.7588,11.7219,-0.5523,4.745,0.172,3.085,-10.5
77,9.7846,-18.5727,-19.8889,-20.3309,-20.4918,-20.7162,0.4057,7.2319,-0.4234,11.8476,-0.1962,7.589,0.112,4.6,-10.208
78,9.5205,-17.902,-18.7484,-19.0342,-19.1619,-18.9631,0.2911,7.3784,-1.9685,14.0393,0.9121,4.825,0.468,3.53,-11.489
79,9.7739,-18.0699,-19.4941,-19.8991,-19.9839,-19.9609,0.3912,7.0521,-0.853,14.0393,1.2556,9.439,0.122,6.031,-10.6269
80,9.3852,-17.5441,-18.6239,-18.9287,-19.0484,-19.3922,0.2833,7.1496,-2.1381,13.9663,0.5136,5.253,0.181,3.33,-11.5233
81,9.7144,-18.8943,-19.9102,-20.2821,-20.4265,-20.5975,0.3571,7.4191,0.2176,13.9663,0.818,5.601,0.331,3.78,-9.4968
82,9.237,-17.4461,-18.461,-18.7983,-18.9019,-18.9372,0.3837,7.463,-0.5108,11.5431,-0.6533,3.068,0.136,1.884,-9.7478
83,9.4312,-18.4534,-19.4523,-19.7461,-19.7929,-19.5266,0.2792,7.2501,-0.1686,12.1835,-0.344,5.01,0.066,3.09,-9.5998
84,10.1078,-18.2309,-19.7371,-20.2923,-20.5238,-20.6037,0.5356,7.8147,-0.7032,11.9828,-0.5769,5.604,0.036,3.405,-10.811
85,10.4131,-18.8349,-20.1538,-20.742,-21.0088,-21.1485,0.5347,8.1888,-0.1815,12.1681,-1.1286,5.251,0.133,3.354,-10.5946
86,9.5319,-18.0676,-19.4596,-19.7811,-19.7412,-19.1924,0.3108,6.963,0.0853,11.7225,-0.5834,7.735,0.341,5.05,-9.4466
88,10.3608,-18.8555,-20.0083,-20.5761,-20.8195,-21.0051,0.5241,8.775,-0.0801,14.0194,0.4408,2.541,0.136,1.616,-10.4409
89,9.3308,-17.3711,-18.0742,-18.6288,-18.7437,-18.3569,0.1795,7.4599,-0.6789,11.6584,-0.6256,3.467,0.278,2.235,-10.0097
90,9.3295,-18.0013,-18.9272,-19.29,-19.3703,-19.3351,0.362,7.4038,-0.3623,11.6372,-0.6151,3.666,0.086,2.219,-9.6918
91,8.3368,-16.1956,-17.0748,-17.4229,-17.3515,-17.054,0.3881,6.5578,-1.0037,11.337,-0.4243,3.094,0.0,1.844,-9.3405
92,9.748,-18.6835,-19.7655,-20.1244,-20.3568,-20.3903,0.3734,7.7955,-0.0777,11.8397,-0.4963,3.804,0.105,2.427,-9.8257
93,9.5505,-18.2864,-19.1915,-19.5459,-19.6895,-19.689,0.3501,7.2532,-1.3583,12.2119,-0.3745,5.862,0.181,3.996,-10.9088
94,10.2327,-17.8185,-19.1186,-19.8102,-20.178,-20.4775,0.5794,7.9637,-0.5745,11.9537,-0.1998,5.767,0.347,4.413,-10.8072
96,9.8125,-19.0774,-20.0068,-20.3849,-20.5212,-20.5323,0.3733,7.7804,-1.0758,11.8542,-0.3636,4.19,0.116,2.634,-10.8883
97,9.013,-17.221,-18.1536,-18.4436,-18.4775,-18.5874,0.2632,7.5461,-0.6794,11.4892,-0.2319,2.186,0.178,1.345,-9.6924
99,9.767,-18.0328,-19.4032,-19.8797,-19.8055,-19.6977,0.4552,7.3839,-0.4379,11.8216,-0.4267,6.239,0.033,3.78,-10.2049
100,10.6429,-19.4311,-20.8069,-21.2849,-21.4524,-21.5176,0.4353,7.9718,0.2973,13.5806,0.5275,8.743,0.304,5.64,-10.3456
101,10.2005,-19.0664,-20.1554,-20.6226,-20.8131,-21.0485,0.4059,7.7479,0.0749,11.9955,0.0173,6.817,0.102,4.171,-10.1256
103,8.3464,-15.7585,-16.6836,-16.9768,-17.0255,-17.2302,0.3021,7.3966,-1.2099,11.256,-0.5634,1.196,0.087,0.742,-9.5563
105,9.3703,-17.8975,-18.8582,-19.2394,-19.2337,-19.3098,0.3804,7.3836,-0.4497,12.7558,0.4649,3.871,0.331,2.209,-9.82
106,8.5534,-17.1899,-17.9703,-18.0962,-18.2269,-18.3169,0.1472,7.0898,-0.5809,11.3473,0.257,2.169,0.0,1.292,-9.1343
107,10.0728,-18.6198,-19.753,-20.1977,-20.3645,-20.5395,0.4053,7.8526,-0.2303,11.8831,-0.3872,5.216,0.086,3.186,-10.3031
108,10.065,-18.4939,-19.6786,-20.1641,-20.377,-20.5944,0.4532,7.2767,-0.2935,11.8453,-0.9638,10.094,0.147,6.586,-10.3585
109,9.6479,-18.6298,-19.6938,-20.0487,-20.1285,-20.0725,0.3484,7.4499,-0.1005,13.6876,0.9265,5.053,0.022,3.04,-9.7484
110,9.9363,-17.2081,-18.6186,-19.3208,-19.6609,-19.9063,0.6312,8.0221,-0.6757,11.8421,-0.0792,3.623,0.039,2.175,-10.612
111,9.4833,-18.0266,-19.0336,-19.4349,-19.5059,-19.7641,0.3734,7.3701,-0.3162,11.7016,-0.5692,4.587,0.022,2.782,-9.7995
112,10.7074,-19.9705,-21.2634,-21.816,-22.1077,-22.3097,0.4893,8.1545,0.6192,12.9548,-0.4291,7.738,0.268,5.073,-10.0882
113,9.6511,-18.5178,-19.5919,-19.9438,-20.0327,-19.9244,0.3473,7.4952,-0.1111,11.7704,0.1918,4.788,0.112,2.951,-9.7622
114,10.437,-18.1457,-19.7428,-20.4788,-20.8004,-21.0835,0.6981,9.0042,-1.2733,12.5747,0.5784,2.138,0.364,1.839,-11.7103
115,9.0253,-17.7681,-18.5661,-18.9155,-19.069,-19.244,0.3753,7.3088,-0.3817,11.5834,-1.3249,2.882,0.0,1.717,-9.407
116,10.4068,-18.3732,-19.5715,-20.1924,-20.5415,-20.7338,0.548,8.398,-0.4259,12.0416,-0.5918,4.476,0.5,4.637,-10.8327
117,9.7323,-17.9357,-19.138,-19.7339,-19.9255,-20.0212,0.5844,7.0737,-0.2945,11.8868,-0.9811,9.022,0.18,6.12,-10.0268
118,9.8575,-19.0109,-19.894,-20.2327,-20.3029,-20.417,0.3424,7.75,-0.033,12.276,-0.2598,4.564,0.256,2.952,-9.8905
119,8.9164,-16.99,-17.8877,-18.2216,-18.2449,-18.4528,0.3525,7.2739,-0.8094,11.4654,-0.3874,2.648,0.0,1.578,-9.7258
120,10.7013,-19.4982,-20.7492,-21.4052,-21.7432,-21.9794,0.5289,7.8734,0.2306,12.499,-1.0484,10.785,0.438,8.724,-10.4707
121,10.2554,-17.3834,-18.9788,-19.7448,-20.1538,-20.3865,0.6608,8.9383,-0.2221,11.9938,-0.4022,1.831,0.164,1.096,-10.4775
122,10.453,-18.1385,-19.6026,-20.306,-20.6722,-20.9572,0.6001,8.0757,0.1016,12.0801,0.5819,6.278,0.202,4.114,-10.3514
123,8.7133,-16.1049,-17.3019,-17.6024,-17.7186,-17.6318,0.3537,6.8781,-1.2508,11.3461,-0.263,3.32,0.066,2.021,-9.9641
124,9.3965,-18.0198,-18.637,-18.8823,-18.8307,-18.6609,0.2156,7.0014,-0.2917,11.5407,-0.0471,6.5,0.293,4.777,-9.6882
125,9.7739,-18.3352,-19.5184,-19.9572,-20.1274,-20.0614,0.4493,7.5923,-0.2588,11.8239,-0.0354,4.919,0.006,2.94,-10.0327
126,9.8193,-18.3515,-19.5364,-19.8827,-20.0538,-20.1388,0.3732,7.4531,-0.179,11.7739,0.2996,6.117,0.059,3.736,-9.9983
127,9.7839,-18.4407,-19.5895,-19.9653,-19.9121,-19.8069,0.3583,7.624,-0.2986,11.7947,-0.7588,4.859,0.197,3.16,-10.0825
128,8.3602,-15.4159,-16.3841,-16.762,-16.8829,-17.3296,0.4074,6.9477,-1.4245,11.2765,-0.1242,1.988,0.119,1.246,-9.7847
129,9.8841,-19.2505,-20.2517,-20.6827,-20.8639,-21.0329,0.4122,7.7774,0.4022,12.0109,0.3806,4.572,0.371,3.199,-9.4819
130,9.984,-18.0299,-19.1526,-19.6661,-19.8694,-20.0581,0.479,8.5208,-0.3932,11.8209,0.0858,2.148,0.725,1.252,-10.3772
131,10.5513,-18.7735,-20.3014,-20.9535,-21.2852,-21.4814,0.6199,8.4607,-0.4378,12.5911,-0.1815,4.579,0.456,3.774,-10.9891
132,9.2198,-17.3868,-18.6769,-18.8505,-18.8793,-19.0574,0.2017,6.9682,-0.6315,11.5335,-0.4012,5.34,0.266,3.157,-9.8513
133,10.3717,-18.6018,-19.8282,-20.3747,-20.6422,-20.8114,0.5478,9.1398,0.0461,12.1292,-0.3234,1.568,0.694,1.942,-10.3256
134,9.2979,-17.6177,-18.7917,-19.1068,-19.1318,-19.4242,0.3025,6.9222,-0.226,12.7852,0.4867,6.117,0.256,4.045,-9.5239
135,9.5189,-17.8365,-18.8576,-19.34,-19.5705,-19.6852,0.4438,7.379,-0.2578,11.718,-1.0538,4.731,0.031,2.876,-9.7767
136,10.1722,-18.6978,-19.8565,-20.3306,-20.4458,-20.5982,0.4549,8.5138,0.0087,11.9793,-0.3217,2.733,0.324,1.789,-10.1635
137,10.1508,-18.5948,-19.8842,-20.4625,-20.7511,-20.9633,0.5389,8.1201,0.0684,13.1396,0.7368,4.378,0.389,3.514,-10.0824
138,8.4512,-15.8875,-16.9505,-17.2254,-17.2068,-16.8785,0.3204,6.8463,-1.2086,11.5502,0.8677,2.553,0.004,1.523,-9.6598
139,8.5683,-16.1448,-16.9599,-17.1908,-17.1793,-17.2064,0.2467,7.1007,-0.9011,13.2896,0.2472,2.243,0.302,1.539,-9.4694
140,10.9156,-20.2097,-21.7945,-22.3372,-22.4563,-22.5215,0.4867,8.0847,-0.1822,12.99,0.0376,10.693,0.27,7.733,-11.0978
141,10.4827,-19.2057,-20.5876,-21.164,-21.4168,-21.6054,0.5686,8.5668,0.3693,13.201,-0.2811,3.609,0.331,2.896,-10.1134
142,9.2268,-17.6356,-18.4604,-18.7774,-18.8767,-18.7648,0.3153,7.0442,-0.5603,11.5675,-0.4454,4.942,0.02,2.973,-9.7871
143,9.818,-16.7784,-18.2248,-18.8536,-19.1927,-19.1877,0.573,7.831,-0.4949,11.7111,0.1115,4.018,0.131,2.578,-10.3129
144,9.5356,-18.1259,-19.2402,-19.6589,-19.755,-19.5915,0.4105,7.78,-0.3179,11.7521,0.5834,3.02,0.026,1.823,-9.8535
145,9.7874,-19.0251,-20.0115,-20.2607,-20.2399,-20.1366,0.2528,7.3103,0.1211,11.7879,0.0665,6.979,0.06,4.334,-9.6663
146,9.324,-18.3471,-19.057,-19.3381,-19.3932,-19.5223,0.2319,7.4529,-0.1475,11.8358,-0.0109,3.47,0.284,2.565,-9.4715
147,10.4112,-18.4424,-19.6929,-20.3517,-20.6727,-20.9102,0.5721,8.3866,0.0092,12.0967,0.0387,4.262,0.116,2.762,-10.402
148,9.874,-18.2412,-19.4908,-19.9045,-20.0458,-19.8982,0.3824,7.4549,-0.2817,13.9168,0.2671,6.524,0.263,4.148,-10.1557
149,9.4849,-18.4482,-19.4456,-19.7841,-19.8449,-19.8286,0.3283,7.5875,-0.1569,11.7325,-0.3214,3.543,0.0,2.112,-9.6418
150,9.964,-17.9786,-19.183,-19.7401,-20.0014,-20.1764,0.5295,8.5311,-0.086,11.8811,0.1143,2.061,0.47,1.545,-10.05
151,10.2185,-20.003,-21.0476,-21.4451,-21.6026,-21.6993,0.3992,8.179,0.588,12.715,0.0434,4.214,0.045,2.525,-9.6305
152,10.5597,-18.7387,-20.1645,-20.8444,-21.1443,-21.3707,0.6387,9.1001,-0.5844,14.1249,0.9897,2.346,0.552,2.829,-11.1441
153,7.9099,-14.637,-15.4225,-15.6358,-15.4563,-15.9295,0.2495,6.5485,-1.7387,11.0693,0.1546,1.921,0.016,1.16,-9.6486
154,10.7429,-18.9911,-20.3218,-20.9163,-21.1937,-21.3292,0.5051,8.4642,0.929,12.2465,-0.4408,6.058,0.323,5.278,-9.8139
155,10.411,-18.996,-20.0182,-20.5379,-20.7529,-20.8244,0.4945,8.0457,0.0347,13.9168,1.0074,6.136,0.076,3.812,-10.3763
156,10.4747,-19.2228,-20.5372,-21.0492,-21.2609,-21.3433,0.4549,8.08,0.144,12.2319,-0.4464,6.467,0.175,4.307,-10.3307
157,10.4883,-19.0356,-20.2191,-20.7498,-21.0055,-21.2031,0.4859,8.6129,0.3608,12.191,-0.89,3.485,0.46,2.166,-10.1275
159,9.469,-18.7638,-19.5017,-19.7745,-19.7254,-19.8901,0.2654,7.4706,0.0671,11.6887,-0.681,4.066,0.269,2.597,-9.4019
160,8.8603,-17.6106,-18.3482,-18.6269,-18.7068,-18.6956,0.2936,7.0608,-0.4566,11.4997,0.2863,3.197,0.0,1.905,-9.3169
161,9.0151,-16.9085,-17.8188,-18.2351,-18.4042,-18.4897,0.4235,7.8766,-0.8234,11.4997,0.0306,1.494,0.012,0.891,-9.8385
162,10.7056,-19.7128,-20.8924,-21.4236,-21.6827,-21.835,0.4936,8.5088,0.5195,13.906,0.9669,5.005,0.727,2.83,-10.1861
163,10.4701,-19.5279,-20.9064,-21.3037,-21.4203,-21.2677,0.3819,8.0934,-0.1221,12.1895,-0.0289,6.224,0.213,3.859,-10.5922
164,8.595,-16.6724,-17.4713,-17.8868,-17.748,-17.9841,0.4098,6.7074,-0.79,12.1895,0.348,3.498,0.006,2.089,-9.385
165,10.7167,-19.3114,-20.7234,-21.3336,-21.5747,-21.7451,0.5388,8.344,0.2823,12.4554,0.1214,6.238,0.191,4.107,-10.4344
166,8.6534,-14.1988,-17.3291,-17.7096,-17.7596,-17.6358,0.434,6.6001,-1.0838,11.409,-0.1452,4.25,0.065,2.648,-9.7372
167,10.1567,-17.605,-18.9932,-19.6793,-20.0197,-20.2775,0.6068,8.6304,0.092,11.9505,0.0394,2.313,0.446,1.337,-10.0647
168,9.1076,-17.6129,-17.8805,-18.327,-18.3434,-18.7846,0.4097,6.7979,-0.7183,11.5391,-0.2014,5.813,0.143,3.732,-9.8259
169,10.4979,-19.081,-20.4852,-21.0308,-21.2442,-21.3612,0.529,8.0501,0.1105,12.2739,-0.7062,6.713,0.029,4.069,-10.3874
170,9.6846,-17.0086,-18.2599,-18.789,-19.0136,-19.1312,0.5092,8.6113,-1.1368,11.6571,-0.4166,1.364,0.306,1.234,-10.8214
171,10.6969,-19.8402,-20.9838,-21.4896,-21.718,-21.6936,0.4656,8.3975,0.3099,14.403,1.0562,5.705,0.174,3.641,-10.387
172,10.4598,-19.1497,-20.5727,-21.076,-21.2316,-21.3596,0.4832,7.9898,-0.0965,14.403,0.791,6.887,0.061,4.262,-10.5563
173,10.7019,-19.7789,-20.8869,-21.423,-21.6677,-21.8238,0.51,8.5745,0.5164,14.0666,1.1165,4.638,0.553,2.911,-10.1855
174,10.6836,-19.4698,-20.901,-21.6866,-21.8349,-21.932,0.7225,8.4708,-1.2507,12.9903,-0.6807,5.288,0.559,6.103,-11.9343
175,10.0285,-18.9525,-20.362,-20.7816,-20.7625,-20.7744,0.3791,7.3924,0.2,13.9209,1.0399,8.341,0.092,5.1,-9.8285
176,9.7775,-17.7816,-19.0136,-19.6343,-19.901,-20.0976,0.5669,8.3506,-0.219,11.8926,-0.5195,2.069,0.126,1.278,-9.9965
177,8.6795,-17.3496,-17.9666,-18.1173,-17.9768,-17.9956,0.1121,6.6649,-0.5841,11.4042,0.54,4.107,0.007,2.457,-9.2636
178,9.5852,-17.313,-18.3745,-18.9718,-19.2741,-19.2941,0.513,7.7361,-0.6368,12.9234,0.7531,3.488,0.0,2.079,-10.222
179,9.5778,-18.338,-19.3223,-19.6882,-19.7988,-20.0246,0.3156,7.3095,-0.1371,11.7369,0.6796,5.561,0.099,3.501,-9.7149
180,10.724,-19.6275,-20.7433,-21.3133,-21.5656,-21.7597,0.498,8.3527,0.4413,12.4385,-0.5931,6.317,0.31,4.166,-10.2827
182,10.3683,-19.0276,-20.3668,-20.9212,-21.1991,-21.2544,0.4995,7.9623,-0.2709,12.2363,-0.0916,6.401,0.074,3.852,-10.6392
183,9.4974,-16.5793,-18.5748,-19.1016,-19.4125,-19.5808,0.4753,7.617,-0.5451,11.7768,-0.7041,3.48,0.0,2.074,-10.0425
184,9.4846,-17.524,-18.7088,-19.1484,-19.2997,-18.6816,0.407,6.7127,-0.3067,11.6528,-0.1383,9.69,0.252,7.188,-9.7913
185,8.7537,-17.3799,-18.1715,-18.3853,-18.2481,-18.2573,0.2267,6.8266,-0.4127,12.4418,-0.3269,3.648,0.142,2.272,-9.1664
186,9.4065,-17.7992,-18.9938,-19.3058,-19.2403,-19.1919,0.2754,7.2305,-0.3956,11.6109,-0.6575,4.895,0.131,3.071,-9.8021
187,9.6437,-17.588,-18.6827,-19.0819,-19.273,-19.3666,0.4049,7.9759,-0.3617,11.6732,0.8557,2.77,0.456,1.943,-10.0054
188,10.6028,-18.6898,-20.1959,-20.8067,-21.1048,-21.2342,0.5541,8.6232,-0.288,12.2496,-0.5242,4.039,0.304,2.999,-10.8908
