X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
10.4828,-17.8129,-19.6174,-20.4418,-20.8521,-21.2119,0.7572,8.9097,0.0755,13.3371,-0.217,2.491,0.362,1.746,-10.4073
10.0042,-19.2727,-20.0458,-20.4512,-20.6306,-20.6169,0.3876,7.5963,0.0716,11.9163,-0.6709,6.409,0.05,3.872,-9.9326
10.1288,-18.0637,-19.5378,-20.1901,-20.4607,-20.6813,0.6257,8.8324,-1.1298,13.1524,1.3329,1.738,0.473,1.54,-11.2586
8.4743,-15.6585,-16.7726,-17.104,-17.2512,-17.0835,0.3703,7.3792,-1.3275,11.7516,1.543,1.412,0.253,0.836,-9.8018
9.494,-17.8867,-18.7259,-19.132,-19.2172,-18.9396,0.4199,7.0575,-0.6821,11.6384,-0.036,6.611,0.071,4.188,-10.1761
9.7622,-18.1422,-19.1608,-19.6809,-19.9148,-20.127,0.4846,8.8736,-0.117,12.5847,-0.002,1.169,0.457,0.863,-9.8792
10.401,-18.5545,-19.8424,-20.5407,-20.8568,-21.0684,0.6541,8.7781,-0.5535,12.269,0.4816,2.667,0.598,1.994,-10.9545
9.364,-18.1088,-19.0182,-19.3715,-19.4904,-19.7466,0.3299,7.213,-0.1566,12.7833,0.671,4.736,0.112,2.984,-9.5206
9.8884,-17.0182,-18.6746,-19.3611,-19.6681,-19.9008,0.6811,8.697,-1.5735,14.1172,1.1359,1.577,0.31,1.025,-11.4619
8.845,-17.2819,-18.154,-18.4817,-18.5852,-18.714,0.3234,8.1223,-0.4799,11.4927,-0.4498,0.925,0.423,0.602,-9.3249
10.0046,-17.344,-18.9536,-19.6403,-19.9206,-20.1658,0.6494,8.6468,-1.1907,11.9261,0.1382,1.939,0.469,1.359,-11.1953
10.3454,-17.7366,-19.5693,-20.301,-20.641,-20.9129,0.6938,8.9467,-0.9229,13.8293,0.3079,2.014,0.702,1.624,-11.2683
10.5638,-18.3905,-19.9932,-20.7274,-21.0594,-21.3471,0.7,9.1193,-1.1234,12.3388,0.1242,2.109,0.999,2.768,-11.6872
9.2225,-18.2066,-19.0706,-19.4702,-19.6314,-19.7748,0.3708,8.0928,-0.0957,11.6656,-0.8332,1.367,0.557,1.146,-9.3182
9.081,-17.6565,-18.358,-18.725,-18.8463,-18.9225,0.3546,7.3367,-0.4714,11.5504,-0.4275,2.976,0.0,1.774,-9.5524
10.3734,-18.4438,-19.935,-20.6273,-20.9477,-21.1942,0.6447,8.4379,-0.5405,12.2513,-0.4529,3.756,0.155,2.445,-10.9139
10.8673,-18.9268,-20.6148,-21.3818,-21.7482,-21.9552,0.7303,8.8788,-1.2764,12.9459,0.6616,3.99,0.738,5.791,-12.1437
10.8334,-18.8571,-20.6251,-21.3966,-21.7756,-22.0181,0.7346,9.0205,-1.0497,12.7852,0.8901,3.303,0.953,2.802,-11.8831
9.1253,-17.5697,-18.4836,-18.8765,-18.9917,-19.1287,0.3798,7.1166,-1.2093,11.5793,-1.244,4.031,0.0,2.402,-10.3346
9.9348,-17.5966,-18.836,-19.4723,-19.8048,-19.9861,0.591,8.1142,-1.8189,14.29,0.3647,3.25,0.048,1.955,-11.7537
10.3398,-17.6495,-19.2778,-20.0399,-20.3632,-20.6187,0.6781,8.8425,-1.0686,12.1244,-0.3415,2.08,0.856,3.013,-11.4084
10.5578,-18.0134,-19.8532,-20.6173,-20.9809,-21.2354,0.7395,9.044,-1.4743,12.343,-0.6218,2.464,0.492,2.592,-12.0321
9.0056,-16.7476,-17.7855,-18.1604,-18.3913,-18.6577,0.3908,7.4556,-0.8115,11.4665,0.0859,2.371,0.006,1.407,-9.8171
9.3172,-17.3679,-18.4759,-19.0232,-19.1798,-19.3568,0.5502,7.945,-0.5493,11.6929,0.1145,1.935,0.0,1.153,-9.8665
9.4943,-18.2012,-18.9208,-19.3411,-19.5164,-19.6409,0.3747,7.8051,-0.086,11.7011,-0.1986,2.94,0.339,2.08,-9.5803
10.4818,-18.3373,-19.8252,-20.5319,-20.8558,-21.0392,0.6737,8.7042,-0.1182,13.6558,0.5201,3.192,0.467,2.6,-10.6
10.0484,-17.0975,-18.7935,-19.5635,-19.9319,-20.2117,0.711,9.453,-1.7737,15.2306,1.2318,0.777,0.917,0.838,-11.8221
10.7029,-18.4207,-20.1541,-20.9192,-21.267,-21.5304,0.7271,9.3767,-1.3836,13.0836,-0.8232,1.864,0.654,2.394,-12.0865
10.2058,-17.168,-19.0678,-19.8335,-20.2037,-20.4858,0.7281,8.9203,-1.5491,12.364,0.1185,1.767,0.906,1.284,-11.7549
10.1639,-17.4062,-19.1935,-19.9651,-20.333,-20.5913,0.707,9.1143,-1.849,12.1039,0.4811,1.356,0.62,1.701,-12.0129
9.5246,-17.3032,-18.4947,-18.9276,-18.9889,-19.1392,0.3805,7.3696,-0.8129,11.7331,0.2412,4.8,0.218,3.65,-10.3375
10.8609,-19.7679,-21.0891,-21.7414,-22.0181,-22.2482,0.6134,9.1624,0.4675,12.7426,-0.1251,2.845,0.525,1.845,-10.3934
10.2935,-18.0235,-19.193,-19.8974,-20.221,-20.3922,0.6269,7.9349,-0.7677,12.6982,0.322,6.127,0.137,3.881,-11.0612
9.2141,-17.6413,-18.7869,-19.1097,-19.1975,-19.019,0.2965,7.3026,-0.3794,12.8739,-0.2633,3.648,0.124,2.264,-9.5935
10.9843,-19.3558,-21.1108,-21.8616,-22.2235,-22.4451,0.7334,8.7505,-0.908,13.0234,-0.3845,5.171,0.618,6.762,-11.8923
11.2728,-19.8788,-21.6124,-22.3981,-22.7882,-23.0788,0.7555,8.9087,-0.1397,13.5796,-0.3451,6.022,0.633,5.195,-11.4125
9.7988,-18.0971,-19.0962,-19.5981,-19.8436,-19.9945,0.4741,8.3347,-0.287,13.5752,0.4531,2.155,0.162,1.3,-10.0858
9.7979,-18.2253,-19.2754,-19.7992,-20.0473,-20.2366,0.5146,8.2604,0.0122,11.8306,-0.2126,2.348,0.149,1.453,-9.7857
10.2149,-17.8789,-19.5669,-20.2721,-20.6056,-20.8412,0.6753,8.8007,-1.3204,15.2306,1.1291,2.031,0.519,1.611,-11.5353
9.1022,-16.394,-16.9591,-17.6053,-17.806,-17.9271,0.5942,7.3342,-1.5925,15.2306,1.5669,3.057,0.114,1.897,-10.6947
10.3241,-18.3308,-19.7467,-20.4178,-20.7157,-20.9993,0.6249,8.74,-0.147,12.2464,-0.7372,2.539,0.358,1.948,-10.4711
10.6153,-18.0362,-20.2207,-20.9885,-21.2711,-21.3791,0.7232,8.9095,-1.5727,12.4327,-0.4726,2.844,1.0,2.128,-12.188
9.5321,-17.1647,-18.1314,-18.714,-19.05,-19.2678,0.5145,7.1781,-0.5486,11.6514,-0.6846,6.189,0.199,4.084,-10.0807
10.7302,-18.3841,-20.1669,-20.9516,-21.3442,-21.6312,0.7332,8.7439,-0.7632,12.4841,-0.9239,4.048,0.53,6.711,-11.4934
