X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
10.1975,-19.1324,-20.4087,-20.9296,-21.1636,-21.3228,0.4675,7.3048,0.3373,12.1909,0.9255,11.387,0.0,6.785,-9.8602
10.4998,-19.0237,-20.2016,-20.7581,-21.0346,-21.1778,0.508,8.0578,0.2265,12.1714,0.0458,6.685,0.116,4.053,-10.2733
9.5112,-18.0377,-19.0126,-19.4316,-19.5997,-19.8016,0.3779,8.2056,-0.2013,11.8577,-0.0241,1.96,0.48,0.847,-9.7125
10.574,-18.4683,-20.1899,-20.9256,-21.3023,-21.5732,0.7005,8.8645,-1.3334,12.425,-0.8413,2.875,0.669,3.379,-11.9074
9.181,-17.5016,-18.4942,-18.877,-19.1023,-19.2041,0.4131,7.0474,-0.5428,11.5971,0.6672,3.944,0.528,1.395,-9.7238
9.4082,-17.7585,-18.7447,-19.0962,-19.1519,-19.0859,0.3732,7.1341,-0.4098,11.6117,0.0441,5.481,0.216,3.487,-9.818
9.9548,-19.2761,-20.2996,-20.6986,-20.8456,-20.929,0.3909,7.9093,0.218,12.0099,-0.7693,4.22,0.131,2.578,-9.7368
8.9916,-17.2146,-18.2505,-18.627,-18.7602,-18.793,0.3919,7.7586,-0.6326,13.4638,1.2681,1.65,0.005,0.983,-9.6242
10.7272,-19.6794,-21.0377,-21.6235,-21.8235,-22.0341,0.5691,7.8774,0.1259,12.553,1.1253,10.675,0.039,6.395,-10.6013
8.9192,-17.6464,-18.5428,-18.8451,-18.6767,-18.6074,0.2663,6.8944,-0.3681,11.543,-0.6651,4.137,0.0,2.465,-9.2873
8.4757,-15.7348,-16.6962,-17.0458,-17.2082,-17.3201,0.3629,6.9509,-1.2578,11.308,-0.8306,2.349,0.136,1.473,-9.7335
9.734,-19.6758,-20.4815,-20.7365,-20.739,-20.919,0.1955,7.5201,0.542,11.8906,-0.666,5.126,0.26,3.561,-9.192
9.2792,-18.1313,-19.0345,-19.3884,-19.4321,-19.3181,0.3465,7.2991,-0.2719,12.1425,-0.5884,3.859,0.017,2.289,-9.5511
8.8896,-17.4816,-18.3458,-18.5765,-18.6438,-18.6204,0.2453,7.5314,-0.5509,11.4661,-0.4808,1.913,0.409,1.092,-9.4405
9.3243,-17.8291,-18.8986,-19.2204,-19.353,-18.9352,0.3858,7.2838,-0.4835,11.6207,0.1989,4.201,0.028,2.537,-9.8078
10.2096,-18.2886,-19.593,-20.2593,-20.581,-20.8791,0.5903,7.6063,-0.1557,12.0477,-0.1492,8.135,0.113,5.076,-10.3653
9.4685,-17.7198,-18.6889,-19.1479,-19.2242,-19.2556,0.4599,7.0014,-0.4925,11.6698,0.0633,6.895,0.104,4.331,-9.961
9.1759,-17.2636,-18.0314,-18.4621,-18.6378,-18.8057,0.4025,7.1286,-0.765,11.5548,-0.1882,4.199,0.054,2.543,-9.9409
10.6341,-19.3275,-21.0656,-21.647,-21.8693,-21.8101,0.5234,7.9689,-1.1182,12.9523,0.6244,9.776,0.358,9.397,-11.7523
9.5322,-17.5531,-18.9783,-19.4011,-19.4694,-19.4599,0.4156,7.3487,-0.5467,12.4657,0.0451,4.971,0.268,3.276,-10.0789
9.7902,-18.0979,-19.1137,-19.6538,-19.9395,-20.1863,0.4518,8.0028,-0.2235,11.8243,-0.5994,3.161,0.166,1.995,-10.0137
9.8263,-18.8825,-19.8677,-20.2349,-20.4063,-20.4758,0.3674,7.9252,0.081,11.8472,0.6882,3.599,0.117,2.263,-9.7453
9.823,-19.3067,-20.165,-20.4952,-20.5854,-20.6466,0.2928,7.5162,0.1784,11.8865,-0.0839,5.742,0.053,3.513,-9.6446
9.812,-18.0261,-19.1806,-19.5446,-19.6836,-19.5462,0.3564,7.5941,-0.589,11.7016,-0.0842,5.161,0.121,3.266,-10.401
10.3974,-18.6927,-19.9391,-20.476,-20.7814,-20.9083,0.4859,8.3888,0.4487,12.0525,-0.3954,4.232,0.22,2.801,-9.9487
9.5887,-17.9349,-19.0821,-19.4026,-19.4992,-19.4709,0.3144,7.4351,-0.5077,11.6512,-0.3665,4.727,0.24,2.596,-10.0964
9.3382,-17.4526,-18.6943,-19.0511,-19.2607,-19.3685,0.3243,6.7768,-0.5007,11.6027,-1.1421,7.655,0.111,4.868,-9.8389
8.6491,-16.8295,-17.6718,-17.8607,-17.8581,-18.0762,0.2042,7.1205,-0.7281,11.341,-0.0043,2.338,0.149,1.445,-9.3772
9.0128,-16.4517,-17.3807,-17.7547,-17.5335,-17.4541,0.439,6.7389,-1.1256,11.4065,-0.7117,5.497,0.274,3.548,-10.1384
9.5955,-18.2923,-19.3352,-19.6973,-19.7995,-19.9458,0.3678,7.4026,-1.5341,11.7116,0.304,5.039,0.232,3.338,-11.1296
9.9449,-18.9417,-19.8985,-20.3067,-20.4361,-20.6064,0.3863,8.1544,0.0187,11.8884,0.3995,3.176,0.091,1.979,-9.9262
9.7956,-18.9222,-19.8671,-20.2597,-20.3752,-20.4062,0.3797,7.9993,0.0316,11.8933,0.2944,3.155,0.386,2.089,-9.764
9.2112,-16.8223,-17.8998,-18.1473,-18.2629,-18.1551,0.2917,7.1439,-0.8502,11.4061,-0.8233,4.33,0.147,2.649,-10.0615
9.9042,-18.4565,-19.4678,-19.882,-20.0089,-20.1432,0.3898,8.2667,-0.2002,11.7955,-0.5195,2.65,0.334,1.632,-10.1044
8.4205,-16.5701,-16.8463,-17.1139,-17.2447,-17.1369,0.2445,6.6608,-1.0639,14.0194,1.6162,3.071,0.107,1.941,-9.4844
