OID_,Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_price,USER_bed,USER_bath,USER_address,USER_city,USER_Field6
11,World,M,99.829999999999998,A,"820 Brock Ave, Unit 109, Victoria, British Columbia, V9B 0B8","820 Brock Ave, Unit 109, Victoria, BC, V9B 0B8, CAN","820 Brock Ave, Unit 109",Subaddress,,,"820 Brock Ave, Unit 109, Victoria, British Columbia, V9B 0B8",,,20.000000000000000,,820,,,,,,,Brock,Ave,,,,,,Unit,109,Unit 109,820 Brock Ave,,,South Millstream,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9B,0B8,CAN,Canada,ENG,0.000000000000000,-123.499321808805348,48.453047577502765,-123.499214017530534,48.453377992125866,-123.500214017530539,-123.498214017530529,48.452377992125868,48.454377992125863,BC,109-820 Brock Ave ,,,,Langford BC,,,,,,"$619,900",3,2,109-820 Brock Ave ,Langford BC,
12,World,M,99.849999999999994,A,"960 Yates St, Unit 1802, Victoria, British Columbia, V8V 3M3","960 Yates St, Unit 1802, Victoria, BC, V8V 3M3, CAN","960 Yates St, Unit 1802",Subaddress,,,"960 Yates St, Unit 1802, Victoria, British Columbia, V8V 3M3",,,20.000000000000000,,960,,,,,,,Yates,St,,,,,,Unit,1802,Unit 1802,960 Yates St,,,Harris Green,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8V,3M3,CAN,Canada,ENG,0.000000000000000,-123.357150062619311,48.425434193772084,-123.357113098426311,48.425765195128406,-123.358113098426315,-123.356113098426306,48.424765195128408,48.426765195128404,BC,PH1802-960 Yates St ,,,,Victoria BC,,,,,,"$3,100,000",2,2,PH1802-960 Yates St ,Victoria BC,
13,World,M,99.049999999999997,A,"4179 Quadra St, Victoria, British Columbia, V8X 1L3","4179 Quadra St, Saanich, BC, V8X 1L3, CAN",4179 Quadra St,PointAddress,,,"4179 Quadra St, Victoria, British Columbia, V8X 1L3",,,20.000000000000000,,4179,,,,,,,Quadra,St,,,,,,,,,4179 Quadra St,,,North Quadra,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8X,1L3,CAN,Canada,ENG,0.000000000000000,-123.377171914734419,48.479600315205609,-123.376863125421508,48.479823190010990,-123.377863125421513,-123.375863125421503,48.478823190010992,48.480823190010987,BC,4179 Quadra St ,,,,Saanich BC,,,,,,"$849,900",3,2,4179 Quadra St ,Saanich BC,
14,World,M,99.090000000000003,A,"65 Kingham Pl, Victoria, British Columbia, V9B 1L9","65 Kingham Pl, View Royal, BC, V9B 1L9, CAN",65 Kingham Pl,PointAddress,,,"65 Kingham Pl, Victoria, British Columbia, V9B 1L9",,,20.000000000000000,,65,,,,,,,Kingham,Pl,,,,,,,,,65 Kingham Pl,,,,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9B,1L9,CAN,Canada,ENG,0.000000000000000,-123.428783232080306,48.459980123890517,-123.429321434083079,48.459864705083817,-123.430321434083083,-123.428321434083074,48.458864705083819,48.460864705083814,BC,65 Kingham Pl ,,,,View Royal BC,,,,,,"$1,360,000",6,3,65 Kingham Pl ,View Royal BC,
15,World,M,99.829999999999998,A,"500 Marsett Pl, Unit 17, Victoria, British Columbia, V8Z 7J1","500 Marsett Pl, Unit 17, Victoria, BC, V8Z 7J1, CAN","500 Marsett Pl, Unit 17",Subaddress,,,"500 Marsett Pl, Unit 17, Victoria, British Columbia, V8Z 7J1",,,20.000000000000000,,500,,,,,,,Marsett,Pl,,,,,,Unit,17,Unit 17,500 Marsett Pl,,,Viewmont,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8Z,7J1,CAN,Canada,ENG,0.000000000000000,-123.386866172490087,48.504220353674540,-123.386786712048007,48.505507562544892,-123.387786712048012,-123.385786712048002,48.504507562544894,48.506507562544890,BC,17-500 Marsett Pl ,,,,Saanich BC,,,,,,"$1,050,000",3,3,17-500 Marsett Pl ,Saanich BC,
16,World,M,99.170000000000002,A,"1824 Crescent Rd, Victoria, British Columbia, V8S 2G6","1824 Crescent Rd, Victoria, BC, V8S 2G6, CAN",1824 Crescent Rd,PointAddress,,,"1824 Crescent Rd, Victoria, British Columbia, V8S 2G6",,,20.000000000000000,,1824,,,,,,,Crescent,Rd,,,,,,,,,1824 Crescent Rd,,,,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8S,2G6,CAN,Canada,ENG,0.000000000000000,-123.329626407162138,48.412015143973839,-123.329711483479343,48.412364920793266,-123.330711483479348,-123.328711483479339,48.411364920793268,48.413364920793263,BC,1824 Crescent Rd ,,,,Victoria BC,,,,,,"$2,250,000",7,4,1824 Crescent Rd ,Victoria BC,
17,World,M,99.819999999999993,A,"75 Gorge Rd W, Unit 413, Victoria, British Columbia, V9A 7A9","75 Gorge Rd W, Unit 413, Victoria, BC, V9A 7A9, CAN","75 Gorge Rd W, Unit 413",Subaddress,,,"75 Gorge Rd W, Unit 413, Victoria, British Columbia, V9A 7A9",,,20.000000000000000,,75,,,,,,,Gorge,Rd,W,,,,,Unit,413,Unit 413,75 Gorge Rd W,,,Tillicum,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9A,7A9,CAN,Canada,ENG,0.000000000000000,-123.393085041732277,48.445476916825996,-123.393850980044277,48.445157817772184,-123.394850980044282,-123.392850980044273,48.444157817772187,48.446157817772182,BC,413-75 Gorge Rd W ,,,,Saanich BC,,,,,,"$349,999",1,2,413-75 Gorge Rd W ,Saanich BC,
18,World,M,99.090000000000003,A,"2536 Garden St, Victoria, British Columbia, V8T 3G5","2536 Garden St, Victoria, BC, V8T 3G5, CAN",2536 Garden St,PointAddress,,,"2536 Garden St, Victoria, British Columbia, V8T 3G5",,,20.000000000000000,,2536,,,,,,,Garden,St,,,,,,,,,2536 Garden St,,,Fernwood,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8T,3G5,CAN,Canada,ENG,0.000000000000000,-123.346266077527034,48.435529441775543,-123.346567071669995,48.435543104277713,-123.347567071669999,-123.345567071669990,48.434543104277715,48.436543104277710,BC,2536 Garden St ,,,,Victoria BC,,,,,,"$1,300,000",3,3,2536 Garden St ,Victoria BC,
19,World,M,99.170000000000002,A,"4871 Excelsior Rd, Victoria, British Columbia, V9E 2E5","4871 Excelsior Rd, Saanich, BC, V9E 2E5, CAN",4871 Excelsior Rd,PointAddress,,,"4871 Excelsior Rd, Victoria, British Columbia, V9E 2E5",,,20.000000000000000,,4871,,,,,,,Excelsior,Rd,,,,,,,,,4871 Excelsior Rd,,,Rural Saanich,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V9E,2E5,CAN,Canada,ENG,0.000000000000000,-123.424733934655549,48.512702965415841,-123.422251466392652,48.510581086627468,-123.423251466392657,-123.421251466392647,48.509581086627470,48.511581086627466,BC,4871 Excelsior Rd ,,,,Saanich BC,,,,,,"$4,500,000",5,5,4871 Excelsior Rd ,Saanich BC,
20,World,M,99.170000000000002,A,"855 Richmond Ave, Victoria, British Columbia, V8S 3Z2","855 Richmond Ave, Victoria, BC, V8S 3Z2, CAN",855 Richmond Ave,PointAddress,,,"855 Richmond Ave, Victoria, British Columbia, V8S 3Z2",,,20.000000000000000,,855,,,,,,,Richmond,Ave,,,,,,,,,855 Richmond Ave,,,,,Victoria,,Capital Regional District,British Columbia,BC,,Victoria,V8S,3Z2,CAN,Canada,ENG,0.000000000000000,-123.331152584092223,48.421579272682543,-123.330892074541595,48.421356900791352,-123.331892074541599,-123.329892074541590,48.420356900791354,48.422356900791350,BC,855 Richmond Ave ,,,,Victoria BC,,,,,,"$1,649,000",4,4,855 Richmond Ave ,Victoria BC,
